study_accession	brief_title	study_pubmed.pubmed_id	study_categorization.research_focus	latest_data_release_version	latest_data_release_date
"SDY1"	"Efficacy and Safety Evaluation of Allergen Immunotherapy Co-Administered with Omalizumab (an anti-IgE Monoclonal Antibody) (ITN019AD)"	"16387596","17631952"	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY2"	"Immune Response to Varicella Vaccination in Subjects with Atopic Dermatitis Compared to Nonatopic Controls (VAR 05)"	""	"Vaccine Response"	"DR21"	"2017-04-21"
"SDY3"	"Responses to Immunization with Keyhole Limpet Hemocyanin (KLH) Administered by Scarification and the Intradermal (ID) Route (KLH 07)"	"22042247"	"Vaccine Response"	"DR21"	"2017-04-21"
"SDY4"	"Risk Factors in Atopic Dermatitis for the Development of Eczema Herpeticum (ADEH 06)"	"21255038"	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY5"	"Analysis and Correlation of Cathelicidin Expression in Skin and Saliva of Subjects with Atopic Dermatitis and Psoriasis (CATH 02)"	""	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY6"	"ADVN Biomarker Registry Study"	""	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY7"	"ADVN Biomarker Registry Study: CMI/Ab-Vaccinia Substudy"	""	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY8"	"ADVN Biomarker Registry Study: CMI-HSV Substudy"	""	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY9"	"ADVN Biomarker Registry: Neutrophil Substudy"	""	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY10"	"Role of Antimicrobial Peptides in Host Defense Against Vaccinia Virus (AMP 01)"	"20109744","21762972"	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY13"	"Analysis of the Response of Subjects with Atopic Dermatitis to Oral Vitamin D3 by Measurement of Antimicrobial Peptide Expression in Skin and Saliva (CATH 03)"	""	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY14"	"Antimicrobial Response to Oral Vitamin D3 in Patients with Psoriasis (CATH 03)"	"23638978"	"Atopy/Allergy"	"DR21"	"2017-04-21"
"SDY15"	"Immune Response to Yellow Fever Vaccination in Adults With Atopic Dermatitis (YF08)"	"24331381"	"Vaccine Response"	"DR23"	"2017-09-29"
"SDY16"	"Susceptibility and Resistance to Common Encapsulated Bacteria Infections"	""	"Infection Response"	"DR1"	"2012-11-16"
"SDY17"	"Susceptibility to Influenza Infection and Complications"	""	"Infection Response"	"DR1"	"2012-11-16"
"SDY18"	"Immunity to Smallpox Vaccination"	""	"Vaccine Response"	"DR1"	"2012-11-16"
"SDY19"	"Susceptibility and Resistance to Tuberculosis"	""	"Infection Response"	"DR1"	"2012-11-16"
"SDY20"	"Assess the association between immune response genotype set and susceptibility to neuroinvasive disease."	""	"Infection Response"	"DR1"	"2012-11-16"
"SDY21"	"Gene Expression Study of TLR Responses on Dendritic Cells"	""	"Immune Response"	"DR7"	"2014-01-17"
"SDY22"	"Genotype Polymorphism effects on Typhoid Vaccine responses."	"20107010","23583812"	"Vaccine Response"	"DR1"	"2012-11-16"
"SDY23"	"Genotype Polymorphism effects on Cholera Vaccine responses."	""	"Vaccine Response"	"DR1"	"2012-11-16"
"SDY24"	"Genetic Associations in subjects of anthrax trial [Anthrax Vaccine Adsorbed: Human Reactogenicity and Immunogenicity Trial to Address Change in Route of Administration and Dose Reduction (AVA000)]"	"18827210","21368772","23649091","23741398"	"Vaccine Response"	"DR3"	"2013-08-15"
"SDY25"	"Genotyping and gene function in healthy volunteers"	"21368772"	"Vaccine Response"	"DR3"	"2013-08-15"
